Month,Avg. Temp,Min. Temp,Max. Temp,Precipitation,Heating Degrees Days,Cooling Degrees Days
"October, 1935",46.1,30.6,61.5,0.22,587,
"September, 1935",62.1,45.8,78.4,0.41,155,64
"August, 1935",71.5,56.3,86.7,1.8,23,222
"July, 1935",78.5,63.9,93.2,1.88,4,418
"June, 1935",63.1,50.8,75.4,2.83,140,77
"May, 1935",50.2,40.3,60.2,2.82,464,7
"April, 1935",40.1,30,50.1,3.77,733,
"March, 1935",34.7,22.9,46.5,1.21,922,
"February, 1935",29.8,19.3,40.4,0.58,993,
"January, 1935",15.6,4.1,27.2,0.25,1515,
"December, 1934",19.8,10.3,29.4,0.3,1398,
"November, 1934",37,25.6,48.2,0.41,839,
"October, 1934",52,38.2,65.7,1.29,397,4
"September, 1934",55.6,40.9,70.2,1.81,294,16
"August, 1934",71.1,55.8,86.4,1.31,28,203
"July, 1934",76.8,61.2,92.4,1.79,7,369
"June, 1934",69.4,54.9,83.9,3.08,50,197
"May, 1934",68,50.6,85.5,0.6,77,177
"April, 1934",46.9,32.1,61.7,0.49,543,
"March, 1934",31.2,17.3,45.1,0.95,1038,
"February, 1934",25.6,12.3,38.9,0.17,1113,
"January, 1934",24.4,12.5,36.2,0.2,1272,
"December, 1933",20.2,8.9,31.6,0.54,1360,
"November, 1933",34.9,22.6,47.2,0.26,907,
"October, 1933",47.6,31.6,63.6,0.12,534,
"September, 1933",65.1,50,80.3,1.05,100,112
"August, 1933",69.2,55.4,82.9,2.24,45,153
"July, 1933",76.8,61.4,92.2,2.13,9,347
"June, 1933",75.5,59.7,91.4,1.37,17,336
"May, 1933",54.4,42.8,65.9,3.13,339,20
"April, 1933",44.2,31.2,57.2,1.63,619,
"March, 1933",32.8,21.3,44.4,1.56,992,
"February, 1933",15.6,2.7,28.6,0.28,1385,
"January, 1933",23.8,11.9,35.7,0.21,1234,
"December, 1932",15.5,4.5,26.4,0.31,1527,
"November, 1932",32.3,20.6,44,0.16,984,
"October, 1932",43.1,30.8,55.3,1.12,655,
"September, 1932",60,44,75.9,1.02,196,41
"August, 1932",71.6,57.6,85.6,2.41,24,217
"July, 1932",74.1,59.3,88.8,1.73,17,301
"June, 1932",67.8,55.5,80.1,3.93,66,158
"May, 1932",58.5,45.2,71.9,3.16,242,44
"April, 1932",48.1,36.2,60,2.69,521,
"March, 1932",23.4,13.6,33.2,0.94,1287,
"February, 1932",20.4,9.7,31.1,0.25,1229,
"January, 1932",12.7,3.1,22.4,0.66,1604,
"December, 1931",23,14,32,0.96,1271,
"November, 1931",32.8,20.8,44.7,0.91,944,
"October, 1931",50.6,37.8,63.2,1.21,435,3
"September, 1931",66.7,51.5,81.8,1.37,77,138
"August, 1931",71.2,56.8,85.6,1.6,24,222
"July, 1931",76.1,60.4,91.9,1.53,10,350
"June, 1931",73.2,58.8,87.7,2.19,24,281
"May, 1931",54.7,39.7,69.7,2.03,342,18
"April, 1931",46.7,31.7,61.7,0.64,543,
"March, 1931",30.3,18.7,42,1.23,1058,
"February, 1931",32,20.2,43.9,0.3,924,1
"January, 1931",26.7,14.8,38.6,0.2,1177,
"December, 1930",24.6,15.3,33.8,0.12,1237,
"November, 1930",33.2,21.6,44.6,1.23,926,
"October, 1930",44.3,33.4,55.2,2.27,619,
"September, 1930",60.3,45.5,75.2,1.18,183,48
"August, 1930",72.7,59.5,85.9,2.69,17,252
"July, 1930",76.9,60.8,93,0.93,7,371
"June, 1930",65.2,51.5,78.8,2.58,110,104
"May, 1930",53.5,41.4,65.5,2.93,363,16
"April, 1930",49.6,36.3,63,2.31,479,3
"March, 1930",30.6,19.2,42,0.43,1050,
"February, 1930",31.5,20.5,42.5,0.82,930,1
"January, 1930",4.2,-5.8,14.3,0.49,1861,
"December, 1929",19,9.6,28.4,0.22,1399,
"November, 1929",27.6,18,37.2,0.57,1122,
"October, 1929",48.4,36.1,60.7,2.4,522,
"September, 1929",55.5,44,66.9,2.95,294,16
"August, 1929",72.6,56.9,88.3,1.27,19,232
"July, 1929",74.2,59.8,88.5,2.28,19,279
"June, 1929",63.9,50.6,77.2,2.1,124,92
"May, 1929",53.2,39.5,67,2.4,375,14
"April, 1929",44.7,32,57.5,2.36,602,
"March, 1929",34.5,24.3,44.8,1.81,934,
"February, 1929",8.6,-2.8,20.1,0.61,1564,
"January, 1929",3.3,-7.6,14.2,0.9,1877,
"December, 1928",25.5,14.1,36.9,0.15,1212,
"November, 1928",33,22.6,43.4,0.9,961,
"October, 1928",47,33.8,60.3,1.44,547,
"September, 1928",58,43.2,72.8,1.5,234,27
"August, 1928",69.9,55.3,84.5,2.55,34,189
"July, 1928",71.2,58.2,84.1,3.11,34,225
"June, 1928",60.4,47.7,73.1,4.04,186,53
"May, 1928",59.8,44.5,75.2,1.36,219,50
"April, 1928",39.8,25.8,53.7,0.8,763,
"March, 1928",34.8,21.6,48,0.73,937,
"February, 1928",24.2,12.8,35.6,0.41,1146,
"January, 1928",19.2,9.3,29.2,0.17,1399,
"December, 1927",4.4,-5.7,14.6,0.95,1822,
"November, 1927",27.3,18.1,36.5,0.54,1102,
"October, 1927",50.9,35.3,66.5,0.93,429,3
"September, 1927",60.8,47.1,74.5,1.31,169,60
"August, 1927",66,52.8,79.3,2.15,82,105
"July, 1927",68.5,55.5,81.5,2.82,55,172
"June, 1927",63.5,51.2,75.8,2.6,129,88
"May, 1927",52,41.2,62.8,5.3,399,12
"April, 1927",43.4,32.3,54.4,4.25,640,
"March, 1927",33.4,22.2,44.6,1.26,973,
"February, 1927",24,12.8,35.2,0.3,1118,
"January, 1927",17.6,7.2,28,0.33,1443,
"December, 1926",17.5,6.8,28.3,0.4,1459,
"November, 1926",27.1,17.7,36.4,0.68,1127,
"October, 1926",48,34.8,61.2,1.42,523,
"September, 1926",57,43.6,70.4,2.09,258,24
"August, 1926",70,56.3,83.6,2.43,32,189
"July, 1926",73.1,58.9,87.2,2.72,22,267
"June, 1926",64.6,50.9,78.4,2.75,110,103
"May, 1926",61.3,46.9,75.8,2.61,184,81
"April, 1926",45.4,29.4,61.4,0.26,590,
"March, 1926",30.6,17.9,43.4,0.23,1067,
"February, 1926",27.6,17.8,37.3,0.2,1039,
"January, 1926",18.3,7.8,28.8,1.16,1445,
"December, 1925",20.5,10.2,30.9,0.54,1383,
"November, 1925",32.3,19.8,44.8,0.38,976,
"October, 1925",35.6,24.9,46.3,0.78,906,
"September, 1925",63.6,50,77.3,1.08,117,97
"August, 1925",71.9,56.1,87.6,1.27,23,231
"July, 1925",70.9,56.4,85.3,1.84,34,220
"June, 1925",64.6,52.8,76.5,5.36,104,112
"May, 1925",55.8,40.6,70.9,1.39,312,22
"April, 1925",51.3,37.8,64.8,1.54,404,10
"March, 1925",35.6,22.3,49,0.26,894,
"February, 1925",24.9,14.9,34.9,0.22,1129,
"January, 1925",12.7,1.2,24.2,0.53,1612,
"December, 1924",9.7,-0.4,19.7,0.99,1693,
"November, 1924",33.3,21.6,45,0.36,940,
"October, 1924",53.2,39.6,66.8,1.77,363,8
"September, 1924",57.9,44.3,71.6,1.6,245,24
"August, 1924",68.7,54.4,83,2.39,42,163
"July, 1924",68.7,54.9,82.5,1.79,53,168
"June, 1924",61.8,49.9,73.7,4.83,152,67
"May, 1924",50,35.6,64.3,0.82,475,6
"April, 1924",44,30.2,57.8,1.13,612,
"March, 1924",26,17.1,35,1.43,1205,
"February, 1924",24,12.9,35.1,0.79,1156,
"January, 1924",9,-3.2,21.2,0.19,1720,
"December, 1923",26.1,13.6,38.5,0.39,1190,
"November, 1923",38.1,25.3,50.9,0.29,810,
"October, 1923",45,33.5,56.5,1.32,622,
"September, 1923",61.4,47.8,75.1,2.85,163,59
"August, 1923",66.6,54.1,79.2,3.44,65,123
"July, 1923",74.2,62.2,86.1,3.41,16,300
"June, 1923",66.3,55,77.6,4.53,83,132
"May, 1923",55.7,42.4,68.9,2.27,312,23
"April, 1923",43.4,29.4,57.5,1.66,637,
"March, 1923",26.5,14.3,38.8,0.55,1194,
"February, 1923",14.6,2.2,27.1,0.24,1384,
"January, 1923",21.2,11.5,30.8,0.5,1329,
"December, 1922",15.2,4.8,25.6,0.5,1504,
"November, 1922",33.6,25.4,41.6,2.75,912,
"October, 1922",49.7,33.5,66,0.77,460,
"September, 1922",64.2,47.7,80.7,0.41,110,99
"August, 1922",73,58.5,87.4,1.52,17,250
"July, 1922",68.9,56,81.8,3.48,55,169
"June, 1922",67.7,54.8,80.5,3.67,65,160
"May, 1922",57.2,45.1,69.4,3.37,266,38
"April, 1922",44.9,33.3,56.4,1.55,598,
"March, 1922",30.9,20,41.8,0.65,1031,
"February, 1922",7.7,-3.7,19.2,1.09,1552,
"January, 1922",11.8,1.6,21.9,0.92,1605,
"December, 1921",22,12.3,31.7,0.45,1313,
"November, 1921",26.8,16.7,36.9,0.6,1124,
"October, 1921",50.1,35.2,65,1,454,
"September, 1921",60.3,47,73.6,3.1,179,52
"August, 1921",70.5,56.5,84.5,2.37,34,176
"July, 1921",74.7,60.9,88.4,3.36,16,300
"June, 1921",72,58.4,85.5,1.75,35,235
"May, 1921",55.9,44.1,67.7,3.12,296,29
"April, 1921",46,31.2,60.7,1.57,556,
"March, 1921",35.6,21.5,49.6,1.09,892,
"February, 1921",27.8,15.2,40.5,0.13,1046,
"January, 1921",24.1,13.3,35,0.37,1261,
"December, 1920",21,11.1,30.9,0.49,1356,
"November, 1920",29.5,20.1,38.9,1.05,1055,
"October, 1920",51.2,37.2,65.3,0.92,407,5
"September, 1920",61.6,47.4,75.7,1.37,161,63
"August, 1920",68.5,53.8,83.2,1.75,53,137
"July, 1920",70.9,58.2,83.6,2.36,36,210
"June, 1920",64.4,53.2,75.5,4.59,111,108
"May, 1920",54.9,43.4,66.5,4.75,326,22
"April, 1920",35.7,25.5,45.9,3.06,873,
"March, 1920",29.5,17.8,41.3,1.48,1084,
"February, 1920",21.6,11.5,31.6,0.5,1214,
"January, 1920",16.4,6,26.8,0.28,1493,
"December, 1919",14.6,5.4,23.7,0.23,1568,
"November, 1919",23.2,14.4,31.9,1.5,1214,
"October, 1919",38.8,27,50.5,1.94,768,
"September, 1919",62.8,49.4,76.2,1.13,140,73
"August, 1919",70.3,55,85.6,0.88,34,176
"July, 1919",74.5,60.8,88.1,2.83,15,301
"June, 1919",68.3,56.6,80,3.27,65,153
"May, 1919",55.6,42.6,68.5,2.95,316,22
"April, 1919",43.9,32.9,55,2.63,638,
"March, 1919",28.4,17.6,39.2,0.8,1088,
"February, 1919",15.4,6.5,24.2,1.08,1361,
"January, 1919",25.5,14.6,36.4,0.1,1233,
"December, 1918",23.9,14.4,33.4,0.98,1240,
"November, 1918",32.2,21.2,43.3,1,959,
"October, 1918",49.9,36.2,63.5,0.83,463,
"September, 1918",55.4,40.9,69.9,1,304,14
"August, 1918",70.2,56.6,83.9,2.77,32,193
"July, 1918",69.8,56.5,83,3.13,45,191
"June, 1918",67.9,55.1,80.6,2.41,66,153
"May, 1918",56.9,42.9,70.9,3.38,265,41
"April, 1918",41.4,29.4,53.5,2.52,716,
"March, 1918",39.6,25.8,53.4,1.04,779,4
"February, 1918",18.2,5.7,30.7,0.57,1290,
"January, 1918",6,-3.4,15.3,0.76,1822,
"December, 1917",10.7,-0.7,22.2,0.58,1669,
"November, 1917",40,26.9,53,0.23,755,
"October, 1917",39.8,26.6,53.1,0.21,783,
"September, 1917",59.4,45.5,73.4,1.68,201,38
"August, 1917",67.2,52.1,82.4,1.51,63,125
"July, 1917",74.1,59,89.1,1.57,18,275
"June, 1917",62.2,48.6,75.8,1.9,151,71
"May, 1917",51.3,38.2,64.4,3.11,426,10
"April, 1917",40.1,29.7,50.6,2.62,735,
"March, 1917",25.6,15.8,35.4,1.33,1200,
"February, 1917",9.4,-2.1,21,0.49,1524,
"January, 1917",12,0.4,23.7,1.11,1630,
"December, 1916",9.8,-2.1,21.7,0.74,1674,
"November, 1916",31.6,19,44.2,0.26,998,
"October, 1916",44.3,30.5,58,0.62,636,
"September, 1916",58.6,43.6,73.6,1.01,219,33
"August, 1916",68.8,55.8,81.8,3.42,44,172
"July, 1916",76.8,63.8,89.7,2.4,8,374
"June, 1916",60.7,48.9,72.4,3.54,178,53
"May, 1916",53.7,40.5,66.9,4.24,353,19
"April, 1916",42.8,30.7,54.9,1.6,664,
"March, 1916",32.3,20,44.6,1.24,1004,
"February, 1916",16.8,6.2,27.4,0.37,1350,
"January, 1916",2.3,-9.1,13.7,1.14,1884,
"December, 1915",22.2,11.8,32.5,0.55,1324,
"November, 1915",34.5,23.3,45.8,0.44,893,
"October, 1915",49.7,35.5,64,1.54,461,
"September, 1915",57.7,45.2,70.2,2.71,231,30
"August, 1915",64.6,52,77.1,1.93,106,77
"July, 1915",65.1,53.9,76.3,5.73,104,109
"June, 1915",60,48.6,71.4,5.35,192,48
"May, 1915",51.4,40.3,62.5,3.82,426,10
"April, 1915",52.1,39.3,64.9,2.44,389,10
"March, 1915",20.8,12,29.6,1.05,1349,
"February, 1915",21.6,13.5,29.7,1.67,1189,
"January, 1915",12.9,2.5,23.4,0.74,1588,
"December, 1914",11.6,0.9,22.4,0.54,1644,
"November, 1914",37.1,23.5,50.7,0.03,827,
"October, 1914",51.2,37.4,65.1,1.98,427,3
"September, 1914",62.3,47.6,77,1.97,156,59
"August, 1914",68.7,54.6,82.8,2.02,43,163
"July, 1914",75.2,60.6,89.8,1.95,13,319
"June, 1914",66.9,54.3,79.6,5.04,73,146
"May, 1914",56.8,44,69.5,3.02,277,32
"April, 1914",44.7,32.3,57,2.65,611,
"March, 1914",30.5,20,41,0.68,1055,
"February, 1914",10.1,-1.4,21.5,0.81,1501,
"January, 1914",23.5,12.2,34.7,0.28,1277,
"December, 1913",25.1,13.7,36.6,0.43,1218,
"November, 1913",38,25.6,50.3,0.36,794,
"October, 1913",43.1,30.1,56,1.31,669,
"September, 1913",61.2,47,75.4,1.42,171,56
"August, 1913",73.4,58.8,87.9,1.91,13,265
"July, 1913",70.6,57.1,84.2,2.43,37,212
"June, 1913",69.2,55.8,82.6,2.17,54,177
"May, 1913",53.8,42.1,65.5,3.36,352,17
"April, 1913",47.8,34.1,61.4,1.78,529,
"March, 1913",24.1,11.9,36.2,1.24,1236,
"February, 1913",14.2,1.9,26.6,0.33,1418,
"January, 1913",14.2,0.7,27.7,0.25,1528,
"December, 1912",24.4,11.9,37,0.21,1253,
"November, 1912",36.4,22.6,50.2,0.04,848,
"October, 1912",47.7,32.7,62.8,0.47,525,
"September, 1912",54.4,42.5,66.3,1.73,316,15
"August, 1912",67.4,54.5,80.2,3.28,63,126
"July, 1912",70.7,57.8,83.5,3.71,39,207
"June, 1912",64.3,50.9,77.7,1.42,126,86
"May, 1912",56.6,43.6,69.5,2.28,285,31
"April, 1912",47.3,33.5,61.1,2.82,537,
"March, 1912",21.2,10.1,32.4,0.81,1334,
"February, 1912",19,9.6,28.4,0.25,1294,
"January, 1912",4.1,-6.4,14.6,0.4,1888,
"December, 1911",19.2,10.2,28.3,0.67,1395,
"November, 1911",22.3,11.5,33.2,0.74,1247,
"October, 1911",43.3,33,53.7,2.19,674,
"September, 1911",60.4,47.5,73.3,2.27,179,50
"August, 1911",66.2,53.4,78.8,3.09,77,111
"July, 1911",70.4,55.2,85.6,1.91,40,203
"June, 1911",72.4,57.3,87.4,1.63,30,245
"May, 1911",58.9,43.8,73.9,1.62,225,54
"April, 1911",43.8,30.6,57,1.69,637,
"March, 1911",38.3,23.6,53.1,0.41,833,
"February, 1911",19,6.7,31.3,0.55,1279,
"January, 1911",14.6,2,27.1,0.34,1548,
"December, 1910",20.2,10,30.5,0.37,1395,
"November, 1910",29.6,18.6,40.7,0.23,1042,
"October, 1910",52.6,36.5,68.6,0.73,386,6
"September, 1910",59.8,46.2,73.5,1.81,196,40
"August, 1910",66.9,52.4,81.5,1.65,66,120
"July, 1910",73,57.8,88.2,1.78,23,250
"June, 1910",67.7,54.1,81.2,2.31,74,139
"May, 1910",52.2,38.5,65.8,1.43,404,10
"April, 1910",50.5,34.8,66.2,1.09,450,5
"March, 1910",45.9,31.5,60.2,0.81,595,15
"February, 1910",10.2,-1.1,21.4,0.43,1503,
"January, 1910",14.2,4.6,23.7,1.05,1574,
"December, 1909",8.1,0.3,15.9,1.4,1745,
"November, 1909",32.4,21.1,43.7,1.16,951,
"October, 1909",46.8,33.1,60.4,0.98,562,
"September, 1909",60.8,46.6,75.1,1.3,184,44
"August, 1909",74,60.2,87.8,2.66,11,284
"July, 1909",70.8,58.6,82.9,2.73,36,205
"June, 1909",66.1,54.8,77.4,3.55,90,121
"May, 1909",53.8,40.6,67,4.2,353,18
"April, 1909",38.4,25.5,51.3,0.91,790,
"March, 1909",29.7,20,39.4,0.36,1102,
"February, 1909",18.8,8.4,29.2,0.81,1280,
"January, 1909",12.2,1.9,22.6,0.55,1588,
"December, 1908",19.6,10.2,28.9,0.77,1374,
"November, 1908",34.2,22.3,46,0.85,910,
"October, 1908",45.6,33.7,57.5,2.53,593,
"September, 1908",65.6,49.7,81.6,1.1,90,122
"August, 1908",66.6,52.3,81,2.04,70,116
"July, 1908",71.1,57.4,84.8,2.6,35,209
"June, 1908",62.6,51.2,73.9,4.42,140,76
"May, 1908",53.4,40.4,66.4,4.46,360,17
"April, 1908",47.7,32.3,63,1.79,517,
"March, 1908",31.2,19.4,42.9,1.18,1027,
"February, 1908",20.7,10.4,30.9,0.85,1231,
"January, 1908",23,10.1,35.9,0.24,1307,
"December, 1907",24.8,12.6,37,0.49,1237,
"November, 1907",33.1,19.7,46.6,0.04,953,
"October, 1907",47.6,31.4,63.9,0.65,537,
"September, 1907",56.8,42.8,70.8,1.67,256,24
"August, 1907",69,53.9,84.2,1.02,44,161
"July, 1907",69.5,56.7,82.3,4.06,47,186
"June, 1907",63.5,51.4,75.7,3.32,129,87
"May, 1907",48,35,60.9,4.16,527,3
"April, 1907",37.9,25.1,50.6,0.8,824,
"March, 1907",35.6,23.2,47.9,0.48,900,
"February, 1907",21.9,11,32.9,0.51,1192,
"January, 1907",6,-4.6,16.6,1.05,1784,
"December, 1906",20.7,10.1,31.3,0.74,1341,
"November, 1906",30.5,20.8,40.2,0.66,1020,
"October, 1906",46.9,33.9,59.9,2.08,560,
"September, 1906",62.6,48.9,76.2,2.55,151,65
"August, 1906",68.7,56.4,80.9,4.65,43,166
"July, 1906",69.4,55.1,83.6,1.35,55,165
"June, 1906",62.8,50.8,74.8,2.87,140,79
"May, 1906",55.1,43,67.3,4.81,310,27
"April, 1906",48.9,35.5,62.3,2.53,495,3
"March, 1906",21,11.3,30.7,1.12,1364,
"February, 1906",20.8,8.5,33.1,0.34,1228,
"January, 1906",20.2,9,31.5,0.4,1358,
"December, 1905",22.5,11.6,33.4,0.05,1284,
"November, 1905",35,22.8,47.2,1.23,878,
"October, 1905",42.7,29.9,55.4,1.65,669,
"September, 1905",62.6,47.1,78.1,1.09,144,73
"August, 1905",70.9,57,84.7,2.26,28,212
"July, 1905",67.6,55.7,79.5,4.55,68,147
"June, 1905",62.4,51,73.9,5.04,139,84
"May, 1905",51.4,39.8,63,5.34,419,11
"April, 1905",43.1,30.2,56,1.35,654,
"March, 1905",37.9,26.2,49.6,0.97,836,
"February, 1905",11.6,-0.9,24.2,0.43,1492,
"January, 1905",9.2,-1.3,19.7,0.62,1728,
"December, 1904",20.5,9.4,31.6,0.56,1363,
"November, 1904",38.1,23.2,53.1,0.08,794,
"October, 1904",50.3,36.7,63.9,1.36,453,2
"September, 1904",59.4,44.4,74.5,0.99,202,39
"August, 1904",68.2,53.5,83,1.82,55,138
"July, 1904",68.1,54.4,81.8,2.28,62,154
"June, 1904",63.1,51,75.1,4.17,137,83
"May, 1904",55.8,42.7,68.9,2.38,302,26
"April, 1904",42.1,28.8,55.4,1.52,691,
"March, 1904",29.2,17.5,41,0.52,1073,
"February, 1904",10.1,-2.3,22.5,0.68,1510,
"January, 1904",12.8,2.6,23,0.36,1620,
"December, 1903",18.6,7.6,29.5,0.58,1452,
"November, 1903",29.5,18.3,40.7,0.32,1056,
"October, 1903",49.7,34.9,64.6,0.85,473,
"September, 1903",55.6,42.6,68.7,2.46,283,19
"August, 1903",67.6,55.4,79.7,3.14,60,128
"July, 1903",70.1,56.7,83.5,3.79,43,189
"June, 1903",63.5,50.5,76.5,2.36,133,82
"May, 1903",55.6,42.8,68.4,3.21,304,29
"April, 1903",45.3,32.1,58.5,1.62,590,
"March, 1903",28.8,18.4,39.2,0.99,1090,
"February, 1903",10.7,-1.1,22.6,0.6,1499,
"January, 1903",17.4,6.5,28.2,0.33,1472,
"December, 1902",13.7,3.4,24,1.29,1585,
"November, 1902",32.5,21.1,44,0.31,955,
"October, 1902",48.1,32.6,63.6,0.73,493,
"September, 1902",56.2,40.7,71.7,0.74,287,17
"August, 1902",67.7,54.5,80.8,3.14,60,128
"July, 1902",70.5,56.6,84.3,2.03,40,205
"June, 1902",61.3,49,73.6,3.2,159,63
"May, 1902",58.4,45.5,71.4,2.55,238,45
"April, 1902",43,29.6,56.3,1.78,651,
"March, 1902",32.1,22.4,41.8,1.98,983,
"February, 1902",17.2,7.6,26.8,0.67,1329,
"January, 1902",18.9,8,29.8,0.4,1407,
"December, 1901",18.5,8.6,28.4,0.7,1442,
"November, 1901",33.6,20.3,46.8,0.22,946,
"October, 1901",50.4,36.3,64.5,1.78,450,2
"September, 1901",57.2,44.9,69.5,3.42,245,27
"August, 1901",71.3,56.8,85.8,2.38,22,220
"July, 1901",77.5,63.2,91.9,1.99,5,401
"June, 1901",64.8,53.1,76.4,5.75,106,116
"May, 1901",60.1,45.1,75,1.49,222,46
"April, 1901",47.2,34.6,59.8,1.46,532,
"March, 1901",31.4,19.5,43.4,0.93,1035,
"February, 1901",14.8,2.9,26.8,0.44,1387,
"January, 1901",20.2,8,32.5,0.12,1370,
"December, 1900",25.4,15.1,35.8,0.18,1226,
"November, 1900",27.6,16.8,38.5,0.24,1094,
"October, 1900",51.4,37.7,65.1,1.21,394,6
"September, 1900",59,46.5,71.5,2.66,207,36
"August, 1900",73.8,61.1,86.4,3.91,10,292
"July, 1900",71,57.6,84.3,3.97,36,212
"June, 1900",69,54.4,83.5,2.25,57,164
"May, 1900",61.2,45.8,76.6,0.88,188,67
"April, 1900",49.7,36.7,62.6,2.3,464,5
"March, 1900",28.8,15.8,41.7,1.41,1108,
"February, 1900",13.4,0.4,26.4,0.33,1445,
"January, 1900",23.7,12.2,35.2,0.13,1286,
"December, 1899",18,6.8,29.2,0.42,1457,
"November, 1899",39.1,25.6,52.7,0.37,765,
"October, 1899",46.4,33.3,59.6,1.34,550,
"September, 1899",59.5,43.5,75.5,0.47,220,32
"August, 1899",70,56.2,83.8,2.79,37,188
"July, 1899",71.8,57.2,86.4,1.9,35,221
"June, 1899",64.9,52,77.9,3.72,108,114
"May, 1899",54,42.1,65.9,4.38,344,20
"April, 1899",42.7,29.6,55.8,1.28,650,
"March, 1899",14.7,3.3,26.1,1.48,1520,
"February, 1899",5,-6.7,16.6,0.37,1670,
"January, 1899",15.2,3.5,26.9,0.48,1523,
"December, 1898",17.4,5.7,29,0.17,1472,
"November, 1898",25.9,13.4,38.4,0.29,1149,
"October, 1898",41.7,30.4,53,1.02,717,
"September, 1898",60.4,44.5,76.3,0.79,180,50
"August, 1898",70.3,55.2,85.5,1.11,31,183
"July, 1898",71.2,56.8,85.7,2.89,33,212
"June, 1898",66,52.8,79.1,1.66,88,125
"May, 1898",53.5,41.9,65,4.31,363,16
"April, 1898",44.4,30.4,58.2,1.38,607,
"March, 1898",27.8,15.7,40,0.93,1101,
"February, 1898",23.2,10.4,36.1,0.35,1172,
"January, 1898",20.7,9.7,31.6,0.2,1350,
"December, 1897",16.9,7,26.8,0.48,1491,
"November, 1897",26.1,14.2,37.9,0.59,1124,
"October, 1897",49,35.6,62.4,1.15,480,
"September, 1897",67.7,51.6,83.7,0.78,68,147
"August, 1897",66.2,52.7,79.7,1.91,83,99
"July, 1897",72.2,58.7,85.7,2.89,28,242
"June, 1897",64.5,52,77,2.97,115,96
"May, 1897",57.3,42,72.7,1.1,275,28
"April, 1897",43.9,32.4,55.4,2.66,628,
"March, 1897",21.1,11.2,31.1,2.01,1331,
"February, 1897",15.1,4.5,25.7,0.79,1385,
"January, 1897",11.2,2.2,20.3,1.5,1674,
"December, 1896",25,16.3,33.7,0.18,1230,
"November, 1896",14.4,6.3,22.4,1.58,1480,
"October, 1896",43,28.4,57.7,1.31,663,
"September, 1896",55.4,42,68.9,1.85,301,14
"August, 1896",69.3,54.1,84.4,0.98,39,166
"July, 1896",70.2,56.1,84.2,2.43,40,194
"June, 1896",66.6,53,80.2,3.9,86,125
"May, 1896",58.9,45.9,71.8,2.33,227,53
"April, 1896",44.7,33,56.4,4.02,582,
"March, 1896",21.8,10,33.5,1.63,1308,
"February, 1896",24.1,11.3,36.9,0.63,1131,
"January, 1896",16.9,5,28.9,0.5,1440,
"December, 1895",21.3,9.9,32.6,0.28,1356,
"November, 1895",27.1,16,38.1,1.15,1105,
"October, 1895",43.4,27.7,59.2,0.16,662,
"September, 1895",61.3,44.4,78.2,1.03,162,64
"August, 1895",69,52.6,85.3,1.3,45,155
"July, 1895",69.8,54.2,85.2,1.36,48,181
"June, 1895",62.1,49,75.2,4.16,150,76
"May, 1895",55.4,42,69,2.26,310,26
"April, 1895",51.6,37.1,66.2,2.36,399,11
"March, 1895",29,15.3,42.6,1.03,1111,
"February, 1895",12.1,1.2,23,0.69,1468,
"January, 1895",6.9,-4.4,18.3,0.65,1778,
