Month,Avg. Temp,Min. Temp,Max. Temp,Precipitation,Heating Degrees Days,Cooling Degrees Days
"May, 2007",60,47.2,72.8,4.53,200,65
"April, 2007",42.9,31.1,54.7,2.21,654,
"March, 2007",40.2,28.2,52.2,2.13,781,1
"February, 2007",15.2,5.9,24.5,0.9,1389,
"January, 2007",20.1,9.4,30.9,0.19,1415,
"December, 2006",27,15.2,38.8,0.73,1163,
"November, 2006",33.7,21.3,46.1,0.35,924,
"October, 2006",44.4,31.7,57.1,0.38,622,
"September, 2006",56.8,44.9,68.7,3.4,269,19
"August, 2006",72.2,58.6,85.7,3.05,21,221
"July, 2006",78.2,62.8,93.6,0.75,6,378
"June, 2006",69.1,55,83.2,1.77,56,169
"May, 2006",58.2,44.1,72.2,1.2,250,40
"April, 2006",50.2,36.9,63.6,2.36,444,6
"March, 2006",32.4,22.2,42.6,1.35,992,
"February, 2006",23.3,12.3,34.2,0.29,1171,
"January, 2006",32.2,23,41.4,0.3,1020,2
"December, 2005",20.1,11.8,28.5,0.74,1400,
"November, 2005",36.8,24.9,48.6,1.07,835,
"October, 2005",49.2,35.8,62.7,0.9,481,
"September, 2005",65.5,50.6,80.3,2.14,93,118
"August, 2005",71,56.9,85,1.93,29,202
"July, 2005",74.4,60.4,88.5,1.66,15,299
"June, 2005",67.9,56.8,78.9,5.04,63,164
"May, 2005",54,41.8,66.2,3.7,343,19
"April, 2005",48.2,35.1,61.3,2.07,495,4
"March, 2005",34.9,22.6,47.3,0.69,944,
"February, 2005",29.3,17,41.5,0.39,998,
"January, 2005",16.8,6.7,26.8,0.37,1484,
"December, 2004",27.2,16.3,38.1,0.09,1179,
"November, 2004",36.6,24.8,48.4,0.36,844,
"October, 2004",48.8,36.6,61.1,2.2,491,
"September, 2004",63.1,50,76.1,3.88,129,84
"August, 2004",66.1,52.5,79.8,1.78,78,105
"July, 2004",70.8,57.8,83.8,2.86,38,201
"June, 2004",62.1,49.4,74.8,2.64,148,72
